machine,profile,width,head_bits,input_bits,values,scope,arm,median_ns_per_value,ratio_to_separate,samples,input_page_offset,head0_page_offset,head1_page_offset,entry_mod64
zen,avx2,56,16,64,256,heads_only,joint_compact16_avx2,0.0754601785,0.6036236032733008,"[0.076533481,0.078848697,0.077485152,0.073472045,0.073858175,0.076023072,0.076467726,0.074364968,0.074362583,0.075665481,0.075254876,0.074655954,0.074564312,0.076872189,0.074820802,0.0774929]",2048,2944,3264,32
zen,avx2,56,16,64,256,heads_only,joint_fulltile_control_avx2,0.1214614975,0.9715989047113242,"[0.122591369,0.122470368,0.126077306,0.118297633,0.118851107,0.120962173,0.121966895,0.122132633,0.12052739,0.12213248,0.11909809,0.120027713,0.123038221,0.120097633,0.119592331,0.121960822]",2048,2944,3264,0
zen,avx2,56,16,64,256,with_payload,separate_avx2,0.2750845555,1.0,"[0.271831416,0.274286032,0.276517875,0.269279562,0.265201524,0.275255658,0.278603837,0.274913453,0.271140516,0.277630858,0.27383817,0.273550503,0.277751476,0.284964934,0.276110575,0.281601414]",2048,2944,3264,48
zen,avx2,56,16,64,256,with_payload,joint_tile_avx2,0.267507594,0.9724558818424832,"[0.266605675,0.272654191,0.267350294,0.262065105,0.259255454,0.269999146,0.269026391,0.266206324,0.269938946,0.258717291,0.264894336,0.262012199,0.28126473,0.268426798,0.267664894,0.285409212]",2048,2944,3264,16
zen,avx2,56,16,64,256,with_payload,joint_compact16_avx2,0.233830474,0.8500312697489846,"[0.231097274,0.234596401,0.225847997,0.222650841,0.224615142,0.23506967,0.238098063,0.228053756,0.236041531,0.225225046,0.233064547,0.226835504,0.238927655,0.238197044,0.23857718,0.240619399]",2048,2944,3264,48
zen,avx2,56,16,64,256,with_payload,joint_fulltile_control_avx2,0.273145374,0.9929505984206373,"[0.27200941,0.275471583,0.273675673,0.261572756,0.276775889,0.272615075,0.278933153,0.272535346,0.266820259,0.270404764,0.265015483,0.263711318,0.273914799,0.278055869,0.281885654,0.27440349]",2048,2944,3264,32
zen,avx2,17,16,64,8192,heads_only,separate_avx2,0.1385158505,1.0,"[0.133997478,0.137285937,0.140426796,0.142778818,0.141819432,0.139498107,0.141701415,0.140099339,0.141347617,0.136756003,0.137258366,0.137379218,0.137533594,0.13554889,0.136282403,0.142042991]",2048,2112,2176,0
zen,avx2,17,16,64,8192,heads_only,joint_tile_avx2,0.1372339115,0.9907451819024855,"[0.134957384,0.136033893,0.137413342,0.139377818,0.141162436,0.14026143,0.136609752,0.134777639,0.134097055,0.139584571,0.137054481,0.13198375,0.13780934,0.134646874,0.138249714,0.138275824]",2048,2112,2176,32
zen,avx2,17,16,64,8192,heads_only,joint_compact16_avx2,0.07282159099999999,0.52572749426969,"[0.07243032,0.074137155,0.074931353,0.075629145,0.07658324,0.072539248,0.072811011,0.074671585,0.072117019,0.072832171,0.072062109,0.071236912,0.072759673,0.074061789,0.070791993,0.075916816]",2048,2112,2176,48
zen,avx2,17,16,64,8192,heads_only,joint_fulltile_control_avx2,0.13542144750000001,0.9776602967181723,"[0.135034125,0.132376365,0.136291422,0.13796987,0.137481961,0.134257056,0.13580877,0.138935585,0.131594606,0.132736526,0.130477753,0.136250515,0.136125717,0.134889804,0.13015059,0.140490979]",2048,2112,2176,32
zen,avx2,17,16,64,8192,with_payload,separate_avx2,0.202279493,1.0,"[0.201987095,0.203390718,0.201923914,0.203783073,0.208303533,0.202571891,0.204103895,0.203144401,0.203260332,0.195652105,0.194692232,0.197113924,0.195166096,0.198736444,0.198757462,0.207976744]",2048,2112,2176,0
zen,avx2,17,16,64,8192,with_payload,joint_tile_avx2,0.198911354,0.9833490832409789,"[0.198412724,0.200494431,0.202895999,0.200457178,0.201839946,0.203315698,0.196224011,0.195268691,0.20528923,0.191285357,0.190624177,0.190759264,0.195905499,0.202057578,0.19459255,0.199409984]",2048,2112,2176,0
zen,avx2,17,16,64,8192,with_payload,joint_compact16_avx2,0.1371280175,0.6779135910727243,"[0.137248307,0.134441793,0.137686253,0.140223727,0.139933527,0.137446418,0.140405819,0.136567913,0.136627145,0.131295234,0.13238661,0.134056002,0.132214718,0.13950891,0.137007728,0.13750796]",2048,2112,2176,32
zen,avx2,17,16,64,8192,with_payload,joint_fulltile_control_avx2,0.1946607195,0.9623354133085552,"[0.196513847,0.197355621,0.19427418,0.199370131,0.201973014,0.194011837,0.194518335,0.192079373,0.194891244,0.192916892,0.188183501,0.188340485,0.192853339,0.194803104,0.196322888,0.199828498]",2048,2112,2176,0
zen,avx2,23,16,64,8192,heads_only,separate_avx2,0.138620364,1.0,"[0.14067084,0.143610008,0.145149462,0.140516944,0.135929357,0.13917568,0.141624298,0.141999442,0.135590389,0.135484401,0.139557935,0.133746315,0.137619536,0.134192683,0.138065048,0.138033457]",2048,1152,1216,0
zen,avx2,23,16,64,8192,heads_only,joint_tile_avx2,0.1347636455,0.9721778360068367,"[0.138749689,0.139968615,0.139618844,0.13652515,0.130060028,0.132461783,0.142823372,0.140145529,0.134494063,0.135226499,0.131631151,0.131991647,0.133542579,0.132241879,0.13232797,0.135033228]",2048,1152,1216,32
zen,avx2,23,16,64,8192,heads_only,joint_compact16_avx2,0.072941527,0.5261963314423269,"[0.07485912,0.074243061,0.07594103,0.073479407,0.070536584,0.071756035,0.072403647,0.071584299,0.073958673,0.07378887,0.071048003,0.073598135,0.071258631,0.074673075,0.071735732,0.070034634]",2048,1152,1216,0
zen,avx2,23,16,64,8192,heads_only,joint_fulltile_control_avx2,0.13315603850000002,0.9605806438367167,"[0.138455052,0.139061015,0.140442293,0.137808487,0.130629111,0.132232267,0.132588297,0.139783874,0.135750167,0.133148141,0.136870969,0.130942337,0.129279647,0.13295345,0.130850803,0.133163936]",2048,1152,1216,48
zen,avx2,23,16,64,8192,with_payload,separate_avx2,0.203067288,1.0,"[0.201309755,0.209686823,0.205535844,0.205274627,0.203153715,0.205844074,0.202980861,0.206412636,0.202522203,0.196224168,0.201411307,0.20626615,0.207057789,0.19676926,0.198735036,0.198192924]",2048,1152,1216,16
