scope,corpus,name,partition,weighting,corpus_windows,occurrence_weight_within_corpus,model,scan,byte_scope,metadata_bytes,suffix_bytes,plain_bytes,minimum_saving_bytes,windows,actual_body_bytes_sum,predicted_body_bytes_sum,actual_total_bytes_sum,predicted_total_bytes_sum,predicted_conversions,actual_beneficial_windows,false_conversions,missed_savings_windows,false_conversion_excess_bytes,missed_savings_bytes,excess_actual_bytes_over_best,chosen_actual_bytes,best_actual_bytes,near_crossover_windows,near_false_conversions,near_missed_savings_windows,near_excess_actual_bytes_over_best,signed_error_mean_bytes,mae_bytes,p95_absolute_error_bytes,max_absolute_error_bytes,min_signed_error_bytes,max_signed_error_bytes,near_signed_error_mean_bytes,near_mae_bytes,near_p95_absolute_error_bytes,near_max_absolute_error_bytes,near_min_signed_error_bytes,near_max_signed_error_bytes,actual_total_bytes_mean,predicted_total_bytes_mean,false_conversion_fraction,missed_savings_fraction,mean_excess_actual_bytes_over_best
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,aligned_allocation,1024,64,8192,0,135,23490,22504,174592,173440,135,135,0,0,0,0,0,174592,174592,0,0,0,0,-7.303703703703704,29.451851851851853,72,128,-90,128,,,,,,,1293.2740740740742,1284.7407407407406,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,cheap,sample32,readable_extent,1024,64,8192,0,135,23490,22504,170370,169384,135,135,0,0,0,0,0,170370,170370,0,0,0,0,-7.303703703703704,29.451851851851853,72,128,-90,128,,,,,,,1262.0,1254.6962962962964,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,512,64,8192,0,135,23490,23455,105472,105216,135,135,0,0,0,0,0,105472,105472,0,0,0,0,-0.25925925925925924,0.4962962962962963,2,3,-3,2,,,,,,,781.2740740740741,779.3777777777777,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,512,64,8192,0,135,23490,23455,101250,101215,135,135,0,0,0,0,0,101250,101250,0,0,0,0,-0.25925925925925924,0.4962962962962963,2,3,-3,2,,,,,,,750.0,749.7407407407408,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,aligned_allocation,1024,64,8192,0,135,23490,23455,174592,174336,135,135,0,0,0,0,0,174592,174592,0,0,0,0,-0.25925925925925924,0.4962962962962963,2,3,-3,2,,,,,,,1293.2740740740742,1291.3777777777777,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,full,readable_extent,1024,64,8192,0,135,23490,23455,170370,170335,135,135,0,0,0,0,0,170370,170370,0,0,0,0,-0.25925925925925924,0.4962962962962963,2,3,-3,2,,,,,,,1262.0,1261.7407407407406,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,512,64,8192,0,135,23490,22512,105472,104320,135,135,0,0,0,0,0,105472,105472,0,0,0,0,-7.2444444444444445,29.392592592592592,72,128,-90,128,,,,,,,781.2740740740741,772.7407407407408,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,512,64,8192,0,135,23490,22512,101250,100272,135,135,0,0,0,0,0,101250,101250,0,0,0,0,-7.2444444444444445,29.392592592592592,72,128,-90,128,,,,,,,750.0,742.7555555555556,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,aligned_allocation,1024,64,8192,0,135,23490,22512,174592,173440,135,135,0,0,0,0,0,174592,174592,0,0,0,0,-7.2444444444444445,29.392592592592592,72,128,-90,128,,,,,,,1293.2740740740742,1284.7407407407406,0.0,0.0,0.0
archive,msmarco-keyset,categories,train_family_comparison,window_occurrence,2160,0.0625,quadrants,sample32,readable_extent,1024,64,8192,0,135,23490,22512,170370,169392,135,135,0,0,0,0,0,170370,170370,0,0,0,0,-7.2444444444444445,29.392592592592592,72,128,-90,128,,,,,,,1262.0,1254.7555555555555,0.0,0.0,0.0
