input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/random256/direct4/cp16/point/materialized/scan,1,5,"[6790.631067961148,6793.233495145632,6790.534466019439,6785.713592233022,6787.1703883495]",6790.534466019439,"[6790.695145628862,6793.29223302578,6794.457281500302,6799.297572788684,6787.22912622124]",6793.29223302578,,,1024.0,256.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/materialized/sparse17,1,5,"[456.141721295515,455.0341078730458,455.3323164795205,455.87690660089453,455.1652171091068]",455.3323164795205,"[456.4111442900126,455.03806710907,455.3362757200448,455.94703705979055,455.1691438933956]",455.3362757200448,,,1024.0,16.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/shared/masked25,1,5,"[1810.8868924508731,1808.3390641158226,1806.0756204756988,1805.736814891413,1809.419725956558]",1808.3390641158226,"[1810.9026628834818,1809.1123319389726,1806.091261648109,1805.7525853254565,1809.7107032108427]",1809.1123319389726,,,1024.0,62.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/shared/scan,1,5,"[7346.556955380587,7351.018897637788,7348.834645669311,7352.105511811026,7356.268241469813]",7351.018897637788,"[7346.626246728282,7352.91443568598,7348.903937039473,7352.17427827497,7356.337007834332]",7352.17427827497,,,1024.0,256.0,256.0,10031.0
zen5,count/random256/direct4/cp16/point/shared/sparse17,1,5,"[486.2955867498006,485.5111985788438,486.2078442300321,486.24964296910275,485.97338813612487]",486.2078442300321,"[487.1065519508832,485.515413288534,488.1623532691427,486.4339405756847,486.0340659714859]",486.4339405756847,,,1024.0,16.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/cps/masked25,1,5,"[2565.8148623853144,2565.631376146757,2567.4717431192125,2564.8717431192877,2566.1965137615052]",2565.8148623853144,"[2566.850091771403,2565.6554128236667,2567.906788983337,2564.893944934638,2566.216880741779]",2566.216880741779,,,544.0,62.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/cps/scan,1,5,"[10223.684172136991,10225.40554339907,10226.820568927704,10239.417213712422,10227.60029175781]",10226.820568927704,"[10252.037199154205,10229.060539805745,10244.035740402616,10245.056163440036,10227.689277860356]",10244.035740402616,,,544.0,256.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/cps/sparse17,1,5,"[680.2165496391787,679.8464501657996,679.7455139457734,680.6729568948816,680.8421591574028]",680.2165496391787,"[680.221962166333,680.6232689758011,679.7455139450154,681.9496294188588,681.009459715462]",680.6232689758011,,,544.0,16.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/cps_fused/masked25,1,5,"[2575.9847258004706,2577.773463378762,2581.0986382038977,2578.077107103411,2578.98251748256]",2578.077107103411,"[2576.0069930297122,2577.795730604244,2587.1076555001605,2578.686418858594,2579.003128462869]",2578.686418858594,,,544.0,62.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/cps_fused/scan,1,5,"[10284.280469897252,10262.937591776847,10271.337004405152,10267.739353891222,10276.248898678425]",10271.337004405152,"[10310.420704711314,10263.026431640033,10271.425844420934,10267.835535957285,10278.525697450785]",10271.425844420934,,,544.0,256.0,256.0,10031.0
zen5,count/random256/series_local/cp16/native16/cps_fused/sparse17,1,5,"[682.7121440739735,683.6895108298795,681.407203699206,681.6642005354136,682.8455098564132]",682.7121440739735,"[682.7180335925318,687.0607447170356,681.4136286217453,681.6705767784263,684.6640545159959]",682.7180335925318,,,544.0,16.0,256.0,10031.0
