input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:rows_per_call,counter:drawn_codes,counter:stride
avx512,gpr/2/unit4/stride64/map2/scan/half/update/gpr_inline,1,3,"[3370.767228915041,3378.0785542167982,3363.3893975905335]",3370.767228915041,"[3370.814457831187,3378.1204819293985,3363.4361445737923]",3370.814457831187,"[3.2917648719873447,3.2989048381023425,3.284559958584505]",3.2917648719873447,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/update/gpr_points,1,3,"[3576.2815533981757,3576.1078180891777,3579.2805314251973]",3576.2815533981757,"[3576.3316300538804,3578.528870728644,3579.3362289168967]",3578.528870728644,"[3.492462454490406,3.492292791102712,3.4953911439699197]",3.492462454490406,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/update/point,1,3,"[3109.876669634929,3109.284060552118,3127.855298307214]",3109.876669634929,"[3110.7791629567173,3109.3321460414036,3127.894033837086]",3110.7791629567173,"[3.03698893519036,3.0364102153829275,3.0545461897531387]",3.03698893519036,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/update/simd,1,3,"[3771.3857758625186,3774.4304956874403,3768.945581896088]",3771.3857758625186,"[3772.4197198236184,3777.091056030359,3768.9983836284227]",3772.4197198236184,"[3.682993921740741,3.6859672809447663,3.6806109198203982]",3.682993921740741,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/update/simd_full,1,3,"[1881.5157866806499,1869.714247811008,1857.973467763649]",1869.714247811008,"[1881.53940037041,1869.7405147303102,1857.9997346772952]",1869.7405147303102,"[1.8374177604303223,1.8258928201279374,1.8144272146129385]",1.8258928201279374,1024.0,16.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/word_hash/gpr_compiled,1,3,"[1102.001569611769,1100.0960602732825,1100.4917595354043]",1100.4917595354043,"[1102.0171087720935,1100.1130120831263,1100.6717940655997]",1100.6717940655997,"[1.0761734078239933,1.0743125588606275,1.0746989839212933]",1.0746989839212933,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/word_hash/gpr_inline,1,3,"[903.396320429386,904.1386227160287,917.5139900343488]",904.1386227160287,"[903.4088411905271,904.1512712432298,917.5256164525877]",904.1512712432298,"[0.8822229691693223,0.8829478737461219,0.8960097558929189]",0.8829478737461219,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/word_hash/gpr_points,1,3,"[968.7775625946606,964.2346105958433,969.1372250655367]",968.7775625946606,"[968.7911191052726,964.2483054357289,969.1493982598224]",968.7911191052726,"[0.9460718384713482,0.9416353619100033,0.946423071353063]",0.9460718384713482,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/word_hash/point,1,3,"[1105.2720970540179,1098.276823696513,1099.9216952894703]",1099.9216952894703,"[1105.5632582319893,1098.2936820550676,1100.9153931016342]",1100.9153931016342,"[1.0793672822793143,1.0725359606411258,1.0741422805561232]",1.0741422805561232,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/word_hash/simd,1,3,"[901.554959451445,869.8094822204802,870.1000623832261]",870.1000623832261,"[901.7983780408961,869.8215845292104,870.1111665642512]",870.1111665642512,"[0.8804247650893019,0.8494233224809377,0.8497070921711192]",0.8497070921711192,1024.0,2.0,4.0,64.0
avx512,gpr/2/unit4/stride64/map2/scan/half/word_hash/simd_full,1,3,"[312.8931439720285,317.1597168653614,313.29838014410694]",313.29838014410694,"[312.897545259889,317.16416352717397,313.3027360583377]",313.3027360583377,"[0.3055597109101841,0.3097262860013295,0.30595544935947944]",0.30595544935947944,1024.0,16.0,4.0,64.0
avx512,gpr/8/unit1/stride1/map0/random/all/sum/gpr_compiled,1,3,"[190.40116627615055,190.56278271312289,190.59030464868334]",190.56278271312289,"[190.40331898171414,190.56490816953328,190.59270259933652]",190.56490816953328,"[0.18593863894155327,0.18609646749328407,0.18612334438347983]",0.18609646749328407,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/sum/gpr_inline,1,3,"[155.58799866646257,155.59313257057545,155.5464607177599]",155.58799866646257,"[155.5901989107214,155.5953105900619,155.54841649078537]",155.5901989107214,"[0.15194140494771732,0.1519464185259526,0.15190084054468742]",0.15194140494771732,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/sum/gpr_points,1,3,"[512.7107853855573,512.8901772038749,513.0643914532928]",512.8901772038749,"[512.7164004960308,512.8972507824615,513.070808721073]",512.8972507824615,"[0.5006941263530833,0.5008693136756591,0.5010394447786063]",0.5008693136756591,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/sum/point,1,3,"[1088.4178337994686,1089.3048552751395,1088.9327731096669]",1088.9327731096669,"[1088.433084344287,1089.5644257737895,1088.9466230935925]",1088.9466230935925,"[1.0629080408197935,1.0637742727296284,1.063410911239909]",1.063410911239909,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/sum/simd,1,3,"[240.18115792397452,240.0069530496049,240.0568979760408]",240.0568979760408,"[240.18484097474865,240.00994768053758,240.1173757402849]",240.1173757402849,"[0.23455191203513137,0.23438179008750476,0.23443056442972737]",0.23443056442972737,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/update/gpr_compiled,1,3,"[426.7335728634883,426.0875098961866,425.68071372065026]",426.0875098961866,"[427.11838499389944,426.2688630414098,425.7743742776481]",426.2688630414098,"[0.4167320047495003,0.41610108388299477,0.41570382199282246]",0.41610108388299477,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/update/gpr_inline,1,3,"[390.3378089886972,390.5715168540421,390.48550561835526]",390.48550561835526,"[390.3421348319513,390.817471910214,390.4904494381907]",390.4904494381907,"[0.38118926659052454,0.3814174969277755,0.38133350158042506]",0.38133350158042506,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/update/gpr_points,1,3,"[4250.631804278927,4257.494189602867,4244.64342507615]",4250.631804278927,"[4251.656880746808,4257.981039761287,4244.702752300357]",4251.656880746808,"[4.15100762136614,4.15770916953405,4.145159594800928]",4.15100762136614,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/update/point,1,3,"[3670.792976940335,3670.5408805038996,3671.243710685561]",3670.792976940335,"[3670.8338574431377,3670.592767298783,3671.2950733695247]",3670.8338574431377,"[3.584758766543296,3.58451257861709,3.585198936216368]",3.584758766543296,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/update/simd,1,3,"[755.4049720189789,755.2058760220078,757.2043693505508]",755.4049720189789,"[755.4154111045533,755.2163151091114,757.2148084376545]",755.4154111045533,"[0.737700167987284,0.7375057383027419,0.7394573919438974]",0.737700167987284,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/word_hash/gpr_compiled,1,3,"[150.1566040563578,150.17333104865008,150.37529716644045]",150.17333104865008,"[150.15872437912725,150.17500160613113,150.41189950956542]",150.17500160613113,"[0.1466373086487869,0.14665364360219732,0.146850876139102]",0.14665364360219732,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/word_hash/gpr_inline,1,3,"[79.73720325995988,80.00602917999446,78.99183895535431]",79.73720325995988,"[79.73821367520924,80.00713952597671,79.0101596676115]",79.73821367520924,"[0.07786836255855457,0.07813088787108835,0.0771404677298382]",0.07786836255855457,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/word_hash/gpr_points,1,3,"[408.0071782899525,408.34152319770874,408.1489932882018]",408.1489932882018,"[408.1260577773044,408.34724248660365,408.1540706155228]",408.1540706155228,"[0.39844451004878173,0.39877101874776244,0.39858300125800955]",0.39858300125800955,1024.0,8.0,1.0,1.0
avx512,gpr/8/unit1/stride1/map0/random/all/word_hash/point,1,3,"[1059.868624186922,1059.8339639767978,1059.6553655230448]",1059.8339639767978,"[1059.8820947501,1059.8472831848017,1059.6686847288977]",1059.8472831848017,"[1.0350279533075408,1.0349941054460916,1.0348196928935984]",1.0349941054460916,1024.0,8.0,1.0,1.0
