family,case,rows,seed,repetitions,median_ns,min_ns,max_ns,allocated_bytes,queries,conditional_visits
prefix,B64prefix9/all_fields,262144,918273,3,20.126184464,20.080999374,20.266889572,18612480,262144,262144
prefix,B64prefix9/equality_mismatch0,262144,918273,3,3.141023783,3.004025973,3.528357766,18612480,262144,0
prefix,B64prefix9/equality_mismatch7,262144,918273,3,2.611306763,2.589240011,3.208794594,18612480,262144,0
prefix,B64prefix9/equality_mismatch8,262144,918273,3,2.732973099,2.731929779,2.812463488,18612480,262144,0
prefix,B64prefix9/equality_mismatch15,262144,918273,3,6.621397018,6.601165771,6.789555868,18612480,262144,262144
prefix,B64prefix9/equality_mismatch16,262144,918273,3,6.240053994,6.185405731,6.4720637,18612480,262144,262144
prefix,B64prefix9/equality_mismatch17,262144,918273,3,4.00882225,3.958830261,4.267423418,18612480,262144,65536
prefix,B64prefix9/update_raw,262144,918273,3,1.014302505,0.995535826,1.017389398,18612480,262144,0
prefix,B64prefix9/update_tuplepack_effects,262144,918273,3,2.751477378,2.747559139,2.767845154,18612480,262144,0
prefix,C64pad/scalar_raw,262144,918273,3,0.704563141,0.703825933,0.706217402,18874624,262144,0
prefix,C64pad/scalar_tuplepack,262144,918273,3,1.738303098,1.729928224,1.748970205,18874624,262144,0
prefix,C64pad/full_string_rare,262144,918273,3,19.863025665,19.833024979,19.936899185,18874624,262144,262144
prefix,C64pad/all_fields,262144,918273,3,19.656402588,19.55642128,19.682991028,18874624,262144,262144
prefix,C64pad/equality_mismatch0,262144,918273,3,2.755493709,2.714021556,2.935120803,18874624,262144,0
prefix,C64pad/equality_mismatch7,262144,918273,3,2.771708897,2.696316274,2.949270102,18874624,262144,0
prefix,C64pad/equality_mismatch8,262144,918273,3,6.585151037,6.502797445,6.657896678,18874624,262144,262144
prefix,C64pad/equality_mismatch15,262144,918273,3,6.532081604,6.509981791,6.908854167,18874624,262144,262144
prefix,C64pad/equality_mismatch16,262144,918273,3,6.196402958,6.033367702,6.261056628,18874624,262144,262144
prefix,C64pad/equality_mismatch17,262144,918273,3,4.386188083,4.371506161,4.392172919,18874624,262144,98304
prefix,C64pad/update_raw,262144,918273,3,1.058483227,1.056273795,1.059029656,18874624,262144,0
prefix,C64pad/update_tuplepack_effects,262144,918273,3,2.829596928,2.829060418,2.832635062,18874624,262144,0
prefix,A_prefix_plane/scalar_raw,262144,918273,3,0.715352941,0.713739466,0.715752778,18612352,262144,0
prefix,A_prefix_plane/scalar_tuplepack,262144,918273,3,1.684569649,1.683332194,1.688138879,18612352,262144,0
prefix,A_prefix_plane/full_string_rare,262144,918273,3,25.920877457,25.909986496,26.38958931,18612352,262144,262144
prefix,A_prefix_plane/all_fields,262144,918273,3,20.50296402,20.346998215,24.889474869,18612352,262144,262144
prefix,A_prefix_plane/equality_mismatch0,262144,918273,3,1.917189789,1.916531754,1.91912365,18612352,262144,0
prefix,A_prefix_plane/equality_mismatch7,262144,918273,3,1.919211578,1.919081688,1.923016739,18612352,262144,0
prefix,A_prefix_plane/equality_mismatch8,262144,918273,3,7.176467896,7.147387187,7.218328476,18612352,262144,262144
