rank,mtu,bytes,azs,worst_direction_p99_us,worst_direction,worst_direction_p50_us,mean_direction_p50_us
7,1500,512,"use1-az1,use1-az3,use1-az5",770.00703,use1-az1->use1-az3,744.1379999999999,544.7124166666666
8,1500,512,"use1-az1,use1-az3,use1-az6",770.00703,use1-az1->use1-az3,744.1379999999999,604.3576666666667
9,1500,512,"use1-az3,use1-az4,use1-az5",794.2367,use1-az3->use1-az4,727.1705,538.0824166666666
10,1500,512,"use1-az1,use1-az3,use1-az4",794.2367,use1-az3->use1-az4,744.1379999999999,584.0554166666667
11,1500,512,"use1-az1,use1-az4,use1-az6",870.41296,use1-az4->use1-az6,813.704,574.8681666666666
12,1500,512,"use1-az4,use1-az5,use1-az6",870.41296,use1-az4->use1-az6,813.704,597.5970833333333
13,1500,512,"use1-az3,use1-az4,use1-az6",870.41296,use1-az4->use1-az6,813.704,657.9944166666667
14,1500,512,"use1-az2,use1-az3,use1-az4",882.84209,use1-az3->use1-az2,847.03,571.3544166666667
15,1500,512,"use1-az2,use1-az3,use1-az5",882.84209,use1-az3->use1-az2,847.03,576.8790833333334
16,1500,512,"use1-az1,use1-az2,use1-az3",882.84209,use1-az3->use1-az2,847.03,643.7289999999999
17,1500,512,"use1-az1,use1-az2,use1-az6",1277.1808800000001,use1-az6->use1-az2,853.005,587.6999166666667
18,1500,512,"use1-az2,use1-az5,use1-az6",1277.1808800000001,use1-az6->use1-az2,853.005,589.5519166666667
19,1500,512,"use1-az2,use1-az4,use1-az6",1277.1808800000001,use1-az6->use1-az2,853.005,607.4712499999999
20,1500,512,"use1-az2,use1-az3,use1-az6",1277.1808800000001,use1-az6->use1-az2,853.005,695.7315833333333
1,1500,1400,"use1-az1,use1-az4,use1-az5",392.08852000000013,use1-az4->use1-az5,355.9465,318.94308333333333
2,1500,1400,"use1-az2,use1-az4,use1-az5",434.19125000000025,use1-az5->use1-az2,355.9465,289.28425
3,1500,1400,"use1-az1,use1-az2,use1-az4",474.25944000000004,use1-az1->use1-az2,419.0075,315.238
4,1500,1400,"use1-az1,use1-az2,use1-az5",474.25944000000004,use1-az1->use1-az2,419.0075,334.67516666666666
5,1500,1400,"use1-az1,use1-az5,use1-az6",693.9035000000001,use1-az5->use1-az6,654.878,518.6655
6,1500,1400,"use1-az3,use1-az5,use1-az6",750.96511,use1-az5->use1-az3,718.981,605.6674166666667
7,1500,1400,"use1-az3,use1-az4,use1-az5",769.2086600000001,use1-az4->use1-az3,722.408,588.8594166666667
8,1500,1400,"use1-az1,use1-az3,use1-az5",776.20867,use1-az3->use1-az1,742.6275,583.7931666666667
9,1500,1400,"use1-az1,use1-az3,use1-az4",776.20867,use1-az3->use1-az1,742.6275,591.3078333333334
10,1500,1400,"use1-az1,use1-az3,use1-az6",776.20867,use1-az3->use1-az1,742.6275,597.6330833333333
11,1500,1400,"use1-az1,use1-az4,use1-az6",855.11549,use1-az6->use1-az4,813.623,578.72375
12,1500,1400,"use1-az4,use1-az5,use1-az6",855.11549,use1-az6->use1-az4,813.623,599.16
13,1500,1400,"use1-az3,use1-az4,use1-az6",855.11549,use1-az6->use1-az4,813.623,652.1
14,1500,1400,"use1-az2,use1-az3,use1-az4",870.3671000000002,use1-az3->use1-az2,844.1735000000001,588.8773333333334
15,1500,1400,"use1-az2,use1-az3,use1-az5",870.3671000000002,use1-az3->use1-az2,844.1735000000001,621.9401666666666
16,1500,1400,"use1-az1,use1-az2,use1-az3",870.3671000000002,use1-az3->use1-az2,844.1735000000001,660.2958333333333
17,1500,1400,"use1-az2,use1-az5,use1-az6",1274.2160099999999,use1-az6->use1-az2,838.1685,586.4562500000001
18,1500,1400,"use1-az1,use1-az2,use1-az6",1274.2160099999999,use1-az6->use1-az2,838.1685,601.9272500000001
19,1500,1400,"use1-az2,use1-az4,use1-az6",1274.2160099999999,use1-az6->use1-az2,838.1685,605.937
20,1500,1400,"use1-az2,use1-az3,use1-az6",1274.2160099999999,use1-az6->use1-az2,844.1735000000001,692.6521666666667
1,1500,4096,"use1-az1,use1-az4,use1-az5",453.66064000000006,use1-az5->use1-az1,376.923,358.28624999999994
2,1500,4096,"use1-az1,use1-az2,use1-az4",481.62885000000006,use1-az2->use1-az1,409.4115,340.50191666666666
3,1500,4096,"use1-az2,use1-az4,use1-az5",547.39702,use1-az2->use1-az5,386.794,333.30441666666667
4,1500,4096,"use1-az1,use1-az2,use1-az5",547.39702,use1-az2->use1-az5,409.4115,380.19125
