series,variant,case,policy,seed,width,cohort,attempts,complete,failed,historical_omitted_keys,offered,oldest_pending_ticks,p50_ticks,p99_ticks,pending,rejections,program_executions
sweep,default,wan_reports_allow_old,ordered-writes,0,16,wan,64,64,0,0,64,0,76,80,0,{},
sweep,default,partial_claim_bridge,arbitration,0,16,bridge,3,3,0,0,3,0,87,87,0,{},
sweep,default,partial_claim_bridge,arbitration,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,partial_claim_bridge,arbitration,0,16,report,120,120,0,0,120,0,51,71,0,{},
sweep,default,partial_claim_bridge,arbitration,0,16,wan,3,3,0,0,3,0,53,53,0,{},
sweep,default,partial_claim_bridge,wound-wait,0,16,bridge,3,3,0,0,3,0,71,71,0,{},
sweep,default,partial_claim_bridge,wound-wait,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,partial_claim_bridge,wound-wait,0,16,report,120,120,0,0,120,0,27,47,0,{},
sweep,default,partial_claim_bridge,wound-wait,0,16,wan,3,3,0,0,3,0,53,53,0,{},
sweep,default,partial_claim_bridge,wait-die,0,16,bridge,3,3,0,0,3,0,71,71,0,{},
sweep,default,partial_claim_bridge,wait-die,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,partial_claim_bridge,wait-die,0,16,report,324,120,0,0,120,0,26,46,0,{},
sweep,default,partial_claim_bridge,wait-die,0,16,wan,3,3,0,0,3,0,53,53,0,{},
sweep,default,partial_claim_bridge,occ,0,16,bridge,6,3,0,0,3,0,107,108,0,"{""output_promise"": 3}",
sweep,default,partial_claim_bridge,occ,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,partial_claim_bridge,occ,0,16,report,300,90,30,0,120,0,1,16,0,"{""capture_promise"": 210}",
sweep,default,partial_claim_bridge,occ,0,16,wan,3,3,0,0,3,0,51,51,0,{},
sweep,default,partial_claim_bridge,certification,0,16,bridge,6,3,0,0,3,0,107,108,0,"{""output_promise"": 3}",
sweep,default,partial_claim_bridge,certification,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,partial_claim_bridge,certification,0,16,report,300,90,30,0,120,0,1,16,0,"{""capture_promise"": 210}",
sweep,default,partial_claim_bridge,certification,0,16,wan,3,3,0,0,3,0,51,51,0,{},
sweep,default,partial_claim_bridge,snapshot-wait,0,16,bridge,6,3,0,0,3,0,109,109,0,"{""output_promise"": 3}",
sweep,default,partial_claim_bridge,snapshot-wait,0,16,regional,128,128,0,0,128,0,1,1,0,{},
sweep,default,partial_claim_bridge,snapshot-wait,0,16,report,120,120,0,0,120,0,8,28,0,{},
