model,arithmetic,partition,slice,sample_tiles,weighted_tiles,mae_bytes,bias_bytes,rmse_bytes,p50_abs_bytes,p95_abs_bytes,p99_abs_bytes,max_abs_bytes,threshold_8_wrong_fraction,threshold_8_false_compress_fraction,threshold_8_missed_compress_fraction,threshold_16_wrong_fraction,threshold_16_false_compress_fraction,threshold_16_missed_compress_fraction,threshold_24_wrong_fraction,threshold_24_false_compress_fraction,threshold_24_missed_compress_fraction,threshold_32_wrong_fraction,threshold_32_false_compress_fraction,threshold_32_missed_compress_fraction
half_four,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.1665852416992187,-0.02068128662109373,0.5433635143174468,0.0,1.0,2.0,8.0,0.008460428873697915,0.008202453613281249,0.0002579752604166666,0.0029063232421874994,0.002814274088541666,9.20491536458333e-05,0.0007405598958333332,0.0007080078124999999,3.2552083333333326e-05,7.324218749999998e-05,3.2552083333333326e-05,4.069010416666666e-05
half_four,q12,synthetic_stress,partial,7353,7353.0,1.0769753841969265,-0.20032639738882088,1.571064688052649,1.0,3.0,5.0,9.0,0.017679858561131512,0.017679858561131512,0.0,0.019991840065279477,0.019991840065279477,0.0,0.005031959744322046,0.004895960832313341,0.00013599891200870393,0.0103359173126615,0.004623963008295933,0.005711954304365565
half_four_piecewise,q12,validation,partial,15052,215112.00000000006,0.08442171519952395,0.04229301015285059,0.2927094517173947,0.0,1.0,1.0,5.0,0.035041211090036814,0.0011566695488861613,0.03388454154115065,4.6603629737067195e-05,3.7306147495258274e-05,9.297482241808915e-06,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
half_four_piecewise,q12,test,partial,33018,96762.0,0.15892856183212417,0.04368973874041462,0.4179254975992505,0.0,1.0,1.0,4.0,0.011097295425890328,0.0017632748392964182,0.00933402058659391,0.0035772048944833715,0.002692477418821438,0.0008847274756619334,0.0007750976623054505,0.0005787395878547363,0.00019635807445071411,0.0011781484467042848,0.00028936979392736817,0.0008887786527769165
half_four_piecewise,q12,test,corpus:census-income,23134,133376.0,0.07731591890595009,0.03960920255518234,0.2812759504982515,0.0,1.0,1.0,2.0,0.004985874520153552,0.00014465870921305182,0.004841215810940499,0.0015873657929462571,0.0011134536948176584,0.00047391209812859883,0.0001199616122840691,2.2492802303262957e-05,9.746880998080614e-05,0.0008097408829174664,0.00017244481765834932,0.0006372960652591171
half_four_piecewise,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.0412284952799479,-0.008588952636718748,0.2272962346537232,0.0,0.0,1.0,4.0,0.0033268269856770822,0.0012314778645833332,0.0020953491210937494,0.0010939208984374997,0.0009116333007812499,0.00018228759765624995,0.00048014322916666653,0.00043131510416666654,4.882812499999999e-05,4.882812499999999e-05,4.069010416666666e-05,8.138020833333332e-06
half_four_piecewise,q12,synthetic_stress,partial,7353,7353.0,0.5226438188494492,0.2841017271861825,0.8565711472416975,0.0,2.0,3.0,4.0,0.020127838977288183,0.0032639738882088943,0.016863865089079288,0.005439956480348157,0.005031959744322046,0.0004079967360261118,0.002039983680130559,0.0009519923840609275,0.0010879912960696314,0.0066639466884264925,0.003535971712226302,0.0031279749762001905
quarter_four,q12,validation,partial,15052,215112.00000000006,0.5626294953326637,-0.017766526274684762,0.7651149392374571,1.0,1.0,1.0,7.0,0.05379945098367359,0.053683604354940656,0.00011584662873293909,7.937725463944361e-05,7.937725463944361e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
quarter_four,q12,test,partial,33018,96762.0,0.7503274322564643,0.12669372274239887,0.974908959535403,1.0,2.0,2.0,9.0,0.027366331824476547,0.02695681672557409,0.00040951509890246174,0.012561795952956738,0.01234219011595461,0.0002196058370021289,0.0012504908951861268,0.0011264752692172547,0.00012401562596887208,0.0025216510613670657,0.00019635807445071411,0.0023252929869163517
quarter_four,q12,test,corpus:census-income,23134,133376.0,0.4028486646773033,0.09868162562979844,0.678562265595831,0.0,1.0,2.0,3.0,0.0128190566518714,0.012811559051103646,7.497600767754318e-06,0.00669133877159309,0.006654311870201535,3.70269013915547e-05,0.00026241602687140117,0.00023242562380038388,2.9990403071017273e-05,0.0017544385796545105,0.00011246401151631478,0.0016419745681381958
quarter_four,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.15358756103515622,-0.0073455607096354104,0.498652591227882,0.0,1.0,2.0,9.0,0.007635632324218748,0.007321297200520833,0.0003143351236979166,0.002628910319010416,0.002496171061197916,0.00013273925781249996,0.0006998697916666665,0.0006347656249999998,6.510416666666665e-05,8.138020833333332e-05,3.2552083333333326e-05,4.882812499999999e-05
quarter_four,q12,synthetic_stress,partial,7353,7353.0,0.9373045015639875,0.0242078063375493,1.375802622957647,1.0,2.0,5.0,10.0,0.0172718618251054,0.017135862913096694,0.00013599891200870393,0.01903984768121855,0.01903984768121855,0.0,0.004351965184278526,0.003943968448252414,0.0004079967360261118,0.013055895552835577,0.005847953216374269,0.007207942336461309
quarter_four_piecewise,q12,validation,partial,15052,215112.00000000006,0.07957588372568705,0.053661876138941564,0.28328832584273334,0.0,1.0,1.0,4.0,0.03550394445684109,0.0007370718509427644,0.034766872605898315,2.800866525344936e-05,2.800866525344936e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
quarter_four_piecewise,q12,test,partial,33018,96762.0,0.15183795291540067,0.04766787581901986,0.40618180774288576,0.0,1.0,1.0,4.0,0.010982818668485564,0.001686219797027759,0.009296598871457805,0.0030896426283044997,0.0026031810008061017,0.0004864616274983982,0.0006924205783262025,0.0005063971393728943,0.00018602343895330811,0.0011884830822016907,0.00038238151340402225,0.0008061015687976685
quarter_four_piecewise,q12,test,corpus:census-income,23134,133376.0,0.07489523977327256,0.042838812829894435,0.276387068276207,0.0,1.0,1.0,2.0,0.00509436855206334,0.0,0.00509436855206334,0.0013109554942418425,0.001017514395393474,0.00029344109884836853,0.00014245441458733205,2.9990403071017273e-05,0.00011246401151631478,0.0008022432821497121,0.00022492802303262957,0.0005773152591170825
quarter_four_piecewise,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.038272432454427074,-0.00896183675130208,0.2167989911683506,0.0,0.0,1.0,4.0,0.003118920898437499,0.0013278157552083331,0.0017911051432291662,0.001010009765625,0.0009454508463541664,6.455891927083331e-05,0.0003906249999999999,0.0003662109374999999,2.4414062499999995e-05,6.510416666666665e-05,5.696614583333332e-05,8.138020833333332e-06
quarter_four_piecewise,q12,synthetic_stress,partial,7353,7353.0,0.44716442268461853,0.21596627226982185,0.7659629928433546,0.0,1.0,3.0,5.0,0.00448796409628723,0.0023119815041479667,0.002175982592139263,0.00448796409628723,0.004215966272269822,0.00027199782401740786,0.0016319869441044472,0.0005439956480348157,0.0010879912960696314,0.005847953216374269,0.003535971712226302,0.0023119815041479667
