dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,all,intersection,mixed-frame,complete,4,8,64,512,131072,259264,0,16384,65241,65174,65536,10473300187498627658,7033104,13736.5,31530408,39432097,7038302,7038302,available,0,0,unestablished
structural,all,intersection,mixed-point-frame,complete,0,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7301735,14261.2,32769685,45158305,7314613,7314613,available,0,0,unestablished
structural,all,intersection,mixed-point-frame,complete,1,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7314096,14285.3,32769794,45158305,7319313,7319313,available,0,0,unestablished
structural,all,intersection,mixed-point-frame,complete,2,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7349256,14354,32773104,45158306,7338053,7338053,available,0,0,unestablished
structural,all,intersection,mixed-point-frame,complete,3,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7321316,14299.4,32772173,45158305,7326453,7326453,available,0,0,unestablished
structural,all,intersection,mixed-point-frame,complete,4,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7334545,14325.3,32771618,45158306,7339763,7339763,available,0,0,unestablished
structural,all,intersection,mixed-frame-point,complete,0,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7189555,14042.1,31961965,45731747,7163523,7163523,available,0,0,unestablished
structural,all,intersection,mixed-frame-point,complete,1,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7184455,14032.1,31964659,45731746,7172953,7172953,available,0,0,unestablished
structural,all,intersection,mixed-frame-point,complete,2,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7163765,13991.7,31957194,45731746,7160853,7160853,available,0,0,unestablished
structural,all,intersection,mixed-frame-point,complete,3,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7139704,13944.7,31955935,45731746,7144922,7144922,available,0,0,unestablished
structural,all,intersection,mixed-frame-point,complete,4,8,64,512,131072,259264,0,8192,65241,65174,65536,10473300187498627658,7137214,13939.9,31955202,45731745,7142613,7142613,available,0,0,unestablished
structural,all,intersection,bec-plain-frame,complete,0,8,128,1024,262144,260224,261120,16384,65241,65536,65536,10473300187498627658,7354805,7182.43,33037375,42420641,7368363,7368363,available,0,0,unestablished
structural,all,intersection,bec-plain-frame,complete,1,8,128,1024,262144,260224,261120,16384,65241,65536,65536,10473300187498627658,7413776,7240.02,33043016,42420643,7402633,7402633,available,0,0,unestablished
structural,all,intersection,bec-plain-frame,complete,2,8,128,1024,262144,260224,261120,16384,65241,65536,65536,10473300187498627658,7372706,7199.91,33044005,42420641,7378053,7378053,available,0,0,unestablished
structural,all,intersection,bec-plain-frame,complete,3,8,128,1024,262144,260224,261120,16384,65241,65536,65536,10473300187498627658,7371276,7198.51,33038876,42420641,7376482,7376482,available,0,0,unestablished
structural,all,intersection,bec-plain-frame,complete,4,8,128,1024,262144,260224,261120,16384,65241,65536,65536,10473300187498627658,7369246,7196.53,33044058,42420641,7374553,7374553,available,0,0,unestablished
structural,all,union,plain,complete,0,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,4234061992801400529,5868845,179.103,26304154,141533472,5882402,5882402,available,0,0,unestablished
structural,all,union,plain,complete,1,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,4234061992801400529,5923895,180.783,26294738,141533472,5910903,5910903,available,0,0,unestablished
structural,all,union,plain,complete,2,8,4096,32768,8388608,0,16777216,0,65536,65536,65536,4234061992801400529,5880164,179.448,26302641,141533472,5885432,5885432,available,0,0,unestablished
