dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income_srt,single255,union,mixed-frame-point,complete,5,92.8074,92.627,93.2101,416.37294006347656,1.655338844744094
census-income_srt,single255,union,mixed-point-frame,complete,5,90.882,90.7877,91.2279,407.1416015625,1.6209968697327235
census-income_srt,single255,union,plain,complete,5,56.0655,55.9024,56.2304,251.0586166381836,1.0
census-income_srt,single255,union,plain,selected,5,2.26343,2.26009,2.27141,10.127667903900146,1.0
msmarco,all,intersection,bec-plain-frame,complete,5,7066.48,7034.31,7137.5,31507.5283203125,39.10765773992351
msmarco,all,intersection,local-frame,complete,5,11133.1,11107.4,11198.4,49745.646484375,61.61334418046078
msmarco,all,intersection,local-frame,selected,5,11137.9,11104.3,11208.1,49745.0703125,59.659544380821785
msmarco,all,intersection,local-inline,complete,5,11121.0,11105.5,11179.7,49634.55859375,61.546379771214156
msmarco,all,intersection,local-point,complete,5,11902.7,11871.7,11913.4,53015.197265625,65.87250197849391
msmarco,all,intersection,mixed-frame,complete,5,11117.0,11081.6,11179.8,49736.958984375,61.524242776421886
msmarco,all,intersection,mixed-frame-point,complete,5,11421.2,11393.7,11464.4,50942.50390625,63.20776123037417
msmarco,all,intersection,mixed-point-frame,complete,5,11695.5,11676.5,11775.7,52236.453125,64.72580564825422
msmarco,all,intersection,plain,complete,5,180.693,180.342,181.813,803.7063293457031,1.0
msmarco,all,intersection,plain,selected,5,186.691,186.322,188.067,835.089599609375,1.0
msmarco,all,union,bec-plain-frame,complete,5,7050.3,7038.1,7193.17,31494.3681640625,38.923547468144776
msmarco,all,union,local-frame,complete,5,12918.0,12895.2,12957.0,57762.296875,71.31815471589779
msmarco,all,union,local-frame,selected,5,12940.9,12903.7,13048.3,57758.255859375,68.8774396832071
msmarco,all,union,local-inline,complete,5,12959.9,12938.8,12980.7,57913.775390625,71.54947772894904
msmarco,all,union,local-point,complete,5,13567.7,13529.6,13590.9,60718.9375,74.90504162710069
msmarco,all,union,mixed-frame,complete,5,12935.7,12906.7,12958.1,57759.56640625,71.41587350661396
msmarco,all,union,mixed-frame-point,complete,5,13134.1,13110.7,13164.5,58715.421875,72.51120729633638
msmarco,all,union,mixed-point-frame,complete,5,13437.6,13415.9,13489.1,60106.865234375,74.1867809111587
msmarco,all,union,plain,complete,5,181.132,180.806,182.857,808.6146240234375,1.0
msmarco,all,union,plain,selected,5,187.883,187.684,189.32,837.3078918457031,1.0
msmarco,cluster32,intersection,bec-plain-frame,complete,5,951.23,945.619,955.346,4248.837158203125,14.289383947483062
msmarco,cluster32,intersection,local-frame,complete,5,1474.72,1467.49,1478.97,6583.335205078125,22.153254517868678
msmarco,cluster32,intersection,local-frame,selected,5,1424.53,1417.92,1435.14,6334.9541015625,66.46433070498763
msmarco,cluster32,intersection,local-inline,complete,5,1478.73,1472.93,1494.13,6566.690673828125,22.213492766903514
msmarco,cluster32,intersection,local-point,complete,5,1556.66,1553.06,1562.46,6957.71533203125,23.384157791164057
msmarco,cluster32,intersection,mixed-frame,complete,5,1473.17,1468.88,1475.69,6575.808837890625,22.129970406645736
msmarco,cluster32,intersection,mixed-frame-point,complete,5,1495.05,1488.88,1504.3,6680.9287109375,22.458651925070225
msmarco,cluster32,intersection,mixed-point-frame,complete,5,1536.54,1533.81,1537.53,6875.49560546875,23.08191500548303
msmarco,cluster32,intersection,plain,complete,5,66.569,66.5131,66.8623,296.79549407958984,1.0
msmarco,cluster32,intersection,plain,selected,5,21.433,21.3254,21.5421,95.0717658996582,1.0
msmarco,cluster32,union,bec-plain-frame,complete,5,950.212,946.423,955.18,4251.0809326171875,14.41081995953738
msmarco,cluster32,union,local-frame,complete,5,1705.15,1698.77,1722.06,7608.83984375,25.860134005890437
msmarco,cluster32,union,local-frame,selected,5,1644.59,1639.39,1650.93,7341.204345703125,76.8683190853895
msmarco,cluster32,union,local-inline,complete,5,1705.57,1701.95,1707.4,7621.6015625,25.866503683797056
msmarco,cluster32,union,local-point,complete,5,1786.48,1776.69,1789.94,7970.47119140625,27.09357663480817
msmarco,cluster32,union,mixed-frame,complete,5,1704.13,1698.36,1714.53,7606.7412109375,25.844664788117218
msmarco,cluster32,union,mixed-frame-point,complete,5,1716.94,1714.18,1732.56,7682.416259765625,26.038939964269144
msmarco,cluster32,union,mixed-point-frame,complete,5,1769.07,1760.77,1784.16,7892.991455078125,26.829538319678967
