profile,target,case,variant,ns_per_value,over_materialized,vs_materialized,samples,materialized_samples
gnr-avx512,avx512,composition/avx512/local/k56/h0/u64/prefilter75,authored-u64-carrier,0.10688846474072705,0.3647155550591569,separated faster,"[0.10745888640690637,0.1066917438734174,0.10688846474072705]","[0.2924919914053213,0.2932051529872174,0.2930735014123259]"
gnr-avx512,avx512,composition/avx512/local/k60/h8/u64/all,authored,0.30046466434011593,1.060890226311684,separated slower,"[0.3004905109881494,0.30046466434011593,0.30046190221250096]","[0.28321937264397135,0.28481329827773794,0.28236453562485314]"
gnr-avx512,avx512,composition/avx512/local/k60/h8/u64/all,authored-u64-carrier,0.20025269768969364,0.7070586161541526,separated faster,"[0.20025269768969364,0.2002695737260529,0.20007269457344098]","[0.28321937264397135,0.28481329827773794,0.28236453562485314]"
gnr-avx512,avx512,composition/avx512/local/k60/h8/u64/prefilter75,authored,0.31066899709679874,1.057283801226597,separated slower,"[0.3105436495801231,0.3108115073992216,0.31066899709679874]","[0.2923799711785337,0.2938369023873999,0.2946336413248871]"
gnr-avx512,avx512,composition/avx512/local/k60/h8/u64/prefilter75,authored-u64-carrier,0.21328483049890923,0.7258612814319375,separated faster,"[0.21328483049890923,0.2142199423476741,0.21321547675550448]","[0.2923799711785337,0.2938369023873999,0.2946336413248871]"
gnr-avx512,avx512,composition/avx512/local/k64/h0/u64/all,authored,0.1580113310572146,0.7107163894068269,separated faster,"[0.15803559592578925,0.1580113310572146,0.15800985426312492]","[0.22232684290437274,0.22248181313896367,0.2222809387458458]"
gnr-avx512,avx512,composition/avx512/local/k64/h0/u64/all,authored-u64-carrier,0.06083517917441625,0.2736294834204194,separated faster,"[0.06074061466287058,0.06083517917441625,0.06110756939231052]","[0.22232684290437274,0.22248181313896367,0.2222809387458458]"
gnr-avx512,avx512,composition/avx512/local/k64/h0/u64/prefilter75,authored,0.1580140648349937,0.6741235555566545,separated faster,"[0.1580140648349937,0.15815404711883768,0.1579963367338478]","[0.23439926335835318,0.23431837433376837,0.23469842772072866]"
gnr-avx512,avx512,composition/avx512/local/k64/h0/u64/prefilter75,authored-u64-carrier,0.05972812401704083,0.25481361656724816,separated faster,"[0.05971967169549249,0.05986576997321464,0.05972812401704083]","[0.23439926335835318,0.23431837433376837,0.23469842772072866]"
gnr-avx512,avx512,composition/avx512/local/k7/h0/u8/all,authored,0.24358458809013242,1.761877126653864,separated slower,"[0.24401784757114686,0.24358458809013242,0.2433305710197881]","[0.13825288063801894,0.1381380050718639,0.13826393124152445]"
gnr-avx512,avx512,composition/avx512/local/k7/h0/u8/all,authored-u64-carrier,0.1318222045506742,0.953486133108634,separated faster,"[0.1317326624544456,0.1318222045506742,0.13186938899262604]","[0.13825288063801894,0.1381380050718639,0.13826393124152445]"
gnr-avx512,avx512,composition/avx512/local/k7/h0/u8/all,dense64-authored,0.03136257904875653,0.22684937126823204,separated faster,"[0.03134772478061767,0.03136387127606698,0.03136257904875653]","[0.13825288063801894,0.1381380050718639,0.13826393124152445]"
gnr-avx512,avx512,composition/avx512/local/k7/h0/u8/prefilter75,authored,0.2434184849288908,1.6568257702800637,separated slower,"[0.2434184849288908,0.2434882932725804,0.24331317767069355]","[0.14715038284710122,0.14691857725495436,0.14691331029731752]"
gnr-avx512,avx512,composition/avx512/local/k7/h0/u8/prefilter75,authored-u64-carrier,0.13175529146436524,0.8967912290337825,separated faster,"[0.13175529146436524,0.13179158594540663,0.13174165279650918]","[0.14715038284710122,0.14691857725495436,0.14691331029731752]"
gnr-avx512,avx512,composition/avx512/local/k7/h0/u8/prefilter75,dense64-authored,0.030119852565354113,0.2050105107748613,separated faster,"[0.030128381038340674,0.030113222097095754,0.030119852565354113]","[0.14715038284710122,0.14691857725495436,0.14691331029731752]"
gnr-avx512,avx512,composition/avx512/striped/k12/h0/u16/all,authored,0.07949710526888669,0.5369673306323756,separated faster,"[0.07956584970366395,0.07949704367165061,0.07949710526888669]","[0.1480312960728677,0.14811662503084372,0.14804830896372143]"
gnr-avx512,avx512,composition/avx512/striped/k12/h0/u16/all,authored-u64-carrier,0.05765218807460189,0.38941470171556836,separated faster,"[0.05767553828903203,0.057646914203727515,0.05765218807460189]","[0.1480312960728677,0.14811662503084372,0.14804830896372143]"
gnr-avx512,avx512,composition/avx512/striped/k12/h0/u16/prefilter75,authored,0.07921703018658006,0.48169552153546247,separated faster,"[0.07921703018658006,0.07917991894073984,0.07922276528664603]","[0.1644645860701369,0.1644545706675168,0.16443739356634265]"
gnr-avx512,avx512,composition/avx512/striped/k12/h0/u16/prefilter75,authored-u64-carrier,0.058853244983596675,0.3578693176158796,separated faster,"[0.05880550663150754,0.058853244983596675,0.0590066058625094]","[0.1644645860701369,0.1644545706675168,0.16443739356634265]"
gnr-avx512bw,avx2,composition/avx2/local/k12/h0/u16/all,authored,0.4274410374509924,1.4362849627724201,separated slower,"[0.42749443175197244,0.42737166866844983,0.4274410374509924]","[0.2980017269513439,0.29760183287438663,0.2975927285551108]"
gnr-avx512bw,avx2,composition/avx2/local/k12/h0/u16/all,authored-u64-carrier,0.34203225381783864,1.1492948498143338,separated slower,"[0.3420224324433785,0.34209855013351564,0.34203225381783864]","[0.2980017269513439,0.29760183287438663,0.2975927285551108]"
gnr-avx512bw,avx2,composition/avx2/local/k12/h0/u16/prefilter75,authored,0.408085599961882,1.2986221596679386,separated slower,"[0.407883612623702,0.408085599961882,0.4085835849355163]","[0.31424506113943923,0.3143373802713644,0.3140419919484694]"
