node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,src,dst,host_src,host_dst,holdout_round,sequential_port_a,sequential_flow,sequential_train_worst_us,sequential_holdout_us,sequential_holdout_lo_us,sequential_holdout_hi_us,scattered_port_a,scattered_flow,scattered_train_worst_us,scattered_holdout_us,scattered_holdout_lo_us,scattered_holdout_hi_us,gain_us,gain_lo_us,gain_hi_us
0,11,az1a,az6b,False,1,6,4,11,0,az6b,az1a,3,64620,2,328.0189808891671,329.7441849800474,275.244047915966,391.133103597998,54680,34,328.8709204092543,329.89268883457487,293.0462764864864,375.05428808893885,-0.14850385452746195,-99.81024017297284,98.08682711151158
0,11,az1a,az6b,False,1,6,16,0,11,az1a,az6b,4,64624,6,337.5387461371992,325.70518579946156,282.9285472951452,382.8696299811809,52464,43,337.6368790228536,329.945264396683,273.011713150751,394.2614359512513,-4.240078597221441,-111.33288865610609,109.85791683042987
0,11,az1a,az6b,False,1,6,16,11,0,az6b,az1a,3,64620,2,328.0189808891671,329.7441849800474,275.244047915966,391.133103597998,49441,37,328.2838065167571,331.3370763747225,294.3579217655157,374.63244271091094,-1.5928913946751209,-99.38839479494493,96.7751818324823
0,11,az1a,az6b,False,1,6,32,0,11,az1a,az6b,4,64624,6,337.5387461371992,325.70518579946156,282.9285472951452,382.8696299811809,52464,43,337.6368790228536,329.945264396683,273.011713150751,394.2614359512513,-4.240078597221441,-111.33288865610609,109.85791683042987
0,11,az1a,az6b,False,1,6,32,11,0,az6b,az1a,3,64638,20,327.49788825608243,335.2407952761298,287.57504310880904,379.28364647727716,49441,37,328.2838065167571,331.3370763747225,294.3579217655157,374.63244271091094,3.9037189014072737,-87.0573996021019,84.92572471176146
1,2,az1b,az2a,False,1,2,4,1,2,az1b,az2a,4,52928,3,215.31995912202382,201.35334544109043,154.69408210150175,258.82501623923866,50835,32,218.76759763914632,206.9832465053841,169.08936723108147,257.6278803822822,-5.629901064293676,-102.93379828078048,89.7356490081572
1,2,az1b,az2a,False,1,2,4,2,1,az2a,az1b,3,52925,0,279.2119987121538,282.69893000969296,233.98516368833836,340.810317611011,50835,32,271.7899463600737,275.48979785140466,233.2501999053054,327.46427173723725,7.209132158288298,-93.4791080488989,107.56011770570558
1,2,az1b,az2a,False,1,2,16,1,2,az1b,az2a,4,52929,4,214.36673339809977,203.15498530034932,149.84908247877866,270.58225024559533,56265,46,215.9077464524201,199.62356092229743,150.22320606226242,260.7847020918915,3.531424378051895,-110.93561961311286,120.35904418333291
1,2,az1b,az2a,False,1,2,16,2,1,az2a,az1b,3,52940,15,201.60187516850954,208.58500857091786,156.24432087187165,271.4537486321316,59892,47,200.27011720537593,205.83130368706793,160.305951045295,261.25486797467477,2.7537048838499345,-105.01054710280312,111.14779758683659
1,2,az1b,az2a,False,1,2,32,1,2,az1b,az2a,4,52929,4,214.36673339809977,203.15498530034932,149.84908247877866,270.58225024559533,57755,63,214.72812542148446,199.09950085680651,169.71662148113106,244.4253965580582,4.0554844435428095,-94.57631407927954,100.86562876446428
1,2,az1b,az2a,False,1,2,32,2,1,az2a,az1b,3,52940,15,201.60187516850954,208.58500857091786,156.24432087187165,271.4537486321316,59892,47,200.27011720537593,205.83130368706793,160.305951045295,261.25486797467477,2.7537048838499345,-105.01054710280312,111.14779758683659
1,3,az1b,az2b,False,1,2,4,1,3,az1b,az2b,4,62336,1,210.08869881337603,212.92613841813034,156.95959485830787,261.2551921166668,64477,32,212.50971394993456,211.1668846730527,169.82071140525537,253.14716280085082,1.7592537450776433,-96.18756794254296,91.43448071141145
1,3,az1b,az2b,False,1,2,4,3,1,az2b,az1b,3,62338,3,210.15776724051614,209.61103315474463,150.29331068163157,267.4576839524526,56815,35,216.19625846456114,216.6610432667639,163.6697927487488,266.1056036366867,-7.050010112019265,-115.81229295505511,103.78789120370382
1,3,az1b,az2b,False,1,2,16,1,3,az1b,az2b,4,62341,6,209.1198407740868,208.1201782986501,170.063813342392,244.38720415730705,60684,39,211.62026928431823,209.36302148292796,152.15275385935928,266.99696384109114,-1.2428431842778593,-96.93315049869915,92.23445029794777
1,3,az1b,az2b,False,1,2,16,3,1,az2b,az1b,3,62348,13,209.10201360146405,209.6403043887492,148.59294995785763,265.9559181957955,52148,43,208.90796930274274,209.71169747129187,170.79340302627605,246.15887964894915,-0.07139308254267007,-97.56592969109153,95.16251516951945
1,3,az1b,az2b,False,1,2,32,1,3,az1b,az2b,4,62341,6,209.1198407740868,208.1201782986501,170.063813342392,244.38720415730705,64919,56,209.7478317677885,208.8794021298564,154.69890647532537,261.48358175885886,-0.7592238312062989,-91.41976841646687,89.68829768198168
1,3,az1b,az2b,False,1,2,32,3,1,az2b,az1b,3,62348,13,209.10201360146405,209.6403043887492,148.59294995785763,265.9559181957955,63544,49,208.3031172486929,208.96455044854176,165.34580077397428,251.48423529419443,0.6757539402074428,-102.89128533633681,100.61011742182123
1,4,az1b,az3a,False,1,3,4,1,4,az1b,az3a,4,49461,2,267.0371623313968,255.69330534309196,0.0,616.2889429816817,64052,33,247.43437939513777,236.15732873557275,0.0,594.6018673049049,19.535976607519217,-594.6018673049049,616.2889429816817
1,4,az1b,az3a,False,1,3,4,4,1,az3a,az1b,3,49459,0,226.89690450153407,230.4461459907498,0.0,497.9593614721722,62252,35,348.652301989546,353.47097244440954,0.0,628.7507577744244,-123.02482645365973,-628.7507577744244,497.9593614721722
