case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/neon/striped/k2/h0/u64/get16,predecessor,resident/predecessor/striped/k2/h0/u64/get16,5.037618541724509,4.548675960280127,1.1074911877025135,4.884206021443408,4.539135003550843,1.0760213163130474,True,False
resident/series/neon/striped/k2/h0/u64/get16,calico,resident/calico/striped/k2/h0/u64/get16,5.037618541724509,7.505937660861364,0.6711511298571594,4.884206021443408,7.504962926032314,0.6507968219938384,False,True
resident/series/neon/striped/k2/h0/u64/get16,admitted,resident/series/neon/striped/k2/h0/u64/admitted-region/get16,5.037618541724509,4.478663078697416,1.1248040884534813,4.884206021443408,4.489900041352948,1.0878206589141888,True,False
resident/series/neon/striped/k2/h0/u64/get16,raw,resident/series/neon/striped/k2/h0/u64/raw-dense/get16,5.037618541724509,4.457543816137592,1.1301332638586477,4.884206021443408,4.467861110874165,1.093186627837628,True,False
resident/series/neon/local/k3/h0/u64/get16,predecessor,resident/predecessor/local/k3/h0/u64/get16,7.457104813527536,8.556783949308446,0.8714845270962129,7.351706237913703,8.558257336548674,0.8590190676456636,False,True
resident/series/neon/local/k3/h0/u64/get16,calico,resident/calico/local/k3/h0/u64/get16,7.457104813527536,8.72850160213789,0.8543396282015979,7.351706237913703,8.73209180350251,0.8419181111867007,False,True
resident/series/neon/local/k3/h0/u64/get16,admitted,resident/series/neon/local/k3/h0/u64/admitted-region/get16,7.457104813527536,6.694652613091587,1.1138897332693487,7.351706237913703,6.679351353844066,1.100661703277922,True,False
resident/series/neon/local/k3/h0/u64/get16,raw,resident/series/neon/local/k3/h0/u64/raw-dense/get16,7.457104813527536,7.050837698214622,1.0576196946663214,7.351706237913703,7.051962117032341,1.0425050668036633,True,False
resident/series/neon/striped/k3/h0/u64/get16,predecessor,resident/predecessor/striped/k3/h0/u64/get16,7.093755555834667,4.817697757205167,1.472436818026933,6.828696272251025,4.654234094637673,1.4672008612799765,True,False
resident/series/neon/striped/k3/h0/u64/get16,calico,resident/calico/striped/k3/h0/u64/get16,7.093755555834667,8.738157703387142,0.8118136335631639,6.828696272251025,7.9405451118038215,0.8599782730407255,False,True
resident/series/neon/striped/k3/h0/u64/get16,admitted,resident/series/neon/striped/k3/h0/u64/admitted-region/get16,7.093755555834667,4.75719574485492,1.4911632685089364,6.828696272251025,4.879319679861384,1.3995181132393073,True,False
resident/series/neon/striped/k3/h0/u64/get16,raw,resident/series/neon/striped/k3/h0/u64/raw-dense/get16,7.093755555834667,5.166222464330045,1.3731029983345064,6.828696272251025,4.925289962731671,1.3864556856392034,True,False
resident/series/neon/local/k4/h0/u64/get16,predecessor,resident/predecessor/local/k4/h0/u64/get16,6.937264689838113,7.6703842406615905,0.9044220565982697,6.884349008736551,7.692103974711796,0.8949890733886616,False,True
resident/series/neon/local/k4/h0/u64/get16,calico,resident/calico/local/k4/h0/u64/get16,6.937264689838113,10.246196456173537,0.6770575519912341,6.884349008736551,10.24538809224499,0.671946142669549,False,True
resident/series/neon/local/k4/h0/u64/get16,admitted,resident/series/neon/local/k4/h0/u64/admitted-region/get16,6.937264689838113,6.313843130861313,1.0987388419470843,6.884349008736551,6.315888061664871,1.0900049116642885,True,False
resident/series/neon/local/k4/h0/u64/get16,raw,resident/series/neon/local/k4/h0/u64/raw-dense/get16,6.937264689838113,6.090597383485958,1.1390121942139546,6.884349008736551,6.093373760670565,1.1298090810006278,True,False
resident/series/neon/striped/k4/h0/u64/get16,predecessor,resident/predecessor/striped/k4/h0/u64/get16,5.040638431864307,4.565706483026558,1.1040215683166128,4.883509018200231,4.542827073720494,1.0749933772409093,True,False
resident/series/neon/striped/k4/h0/u64/get16,calico,resident/calico/striped/k4/h0/u64/get16,5.040638431864307,7.50538564376372,0.6716028557510048,4.883509018200231,7.504796925867048,0.6507183427399705,False,True
resident/series/neon/striped/k4/h0/u64/get16,admitted,resident/series/neon/striped/k4/h0/u64/admitted-region/get16,5.040638431864307,4.490610457621031,1.1224840095648514,4.883509018200231,4.488892859446337,1.0879094625578936,True,False
resident/series/neon/striped/k4/h0/u64/get16,raw,resident/series/neon/striped/k4/h0/u64/raw-dense/get16,5.040638431864307,4.456585991684285,1.1310537800167724,4.883509018200231,4.464848795630417,1.093768062869126,True,False
resident/series/neon/local/k5/h0/u64/get16,predecessor,resident/predecessor/local/k5/h0/u64/get16,7.469577257242172,8.577189519346433,0.8708653621788388,7.359052048118016,8.579208394368333,0.8577775139427471,False,True
resident/series/neon/local/k5/h0/u64/get16,calico,resident/calico/local/k5/h0/u64/get16,7.469577257242172,11.544246946751421,0.6470389356444015,7.359052048118016,11.517791402732378,0.6389290959351999,False,True
resident/series/neon/local/k5/h0/u64/get16,admitted,resident/series/neon/local/k5/h0/u64/admitted-region/get16,7.469577257242172,6.703842246132891,1.1142233040389629,7.359052048118016,6.705247201289101,1.0975064493823912,True,False
resident/series/neon/local/k5/h0/u64/get16,raw,resident/series/neon/local/k5/h0/u64/raw-dense/get16,7.469577257242172,7.077164928648282,1.0554476732632596,7.359052048118016,7.074231604769992,1.0402616791844894,True,False
resident/series/neon/striped/k5/h0/u64/get16,predecessor,resident/predecessor/striped/k5/h0/u64/get16,7.904245001964998,6.2688605091811835,1.2608742833547948,7.671809479832188,5.996097923291308,1.2794670097083851,True,False
