dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
uscensus2000,15,18,direct32,inline,5,491.116,490.337,492.569,2192.3509216308594,1.0,1.0
uscensus2000,15,18,direct32,split,5,538.848,538.394,539.221,2407.9993896484375,0.9114184333986579,1.0971908876925207
uscensus2000,15,18,local16,inline,5,529.599,528.664,531.178,2365.3867797851562,0.9273355878693124,1.0
uscensus2000,15,18,local16,split,5,555.582,554.411,555.992,2479.833526611328,0.8839667231839764,1.049061648530303
uscensus2000,15,18,scan128,inline,5,526.629,525.165,529.824,2346.6336669921875,0.932565430312421,1.0
uscensus2000,15,18,scan128,split,5,551.412,550.726,555.111,2461.7623291015625,0.8906516361631592,1.047059694775639
uscensus2000,255,1,direct32,inline,5,43.392,43.1454,43.4682,193.66191482543945,1.0,1.0
uscensus2000,255,1,direct32,split,5,43.214,43.0526,43.2602,192.58675003051758,1.0041190354977554,0.995897861356932
uscensus2000,255,1,local16,inline,5,58.7099,58.6383,58.8921,262.19602966308594,0.739091703443542,1.0
uscensus2000,255,1,local16,split,5,58.9442,58.8762,58.9714,263.20859146118164,0.7361538539839374,1.0039908090458338
uscensus2000,255,1,scan128,inline,5,58.0611,57.8842,58.3052,259.00900650024414,0.7473506357957393,1.0
uscensus2000,255,1,scan128,split,5,58.5486,58.4606,58.6242,261.49698638916016,0.7411278835019113,1.0083963273172571
weather_sept_85,0,256,direct32,inline,5,6751.68,6737.32,6784.0,30165.1865234375,1.0,1.0
weather_sept_85,0,256,direct32,split,5,7662.56,7656.59,7682.8,34245.0498046875,0.8811258900419703,1.1349116071851746
weather_sept_85,0,256,local16,inline,5,7387.56,7380.05,7409.67,33000.46142578125,0.913925572178094,1.0
weather_sept_85,0,256,local16,split,5,7770.62,7760.89,7791.73,34708.1259765625,0.8688727540402182,1.0518520323354394
weather_sept_85,0,256,scan128,inline,5,7344.27,7328.6,7380.78,32782.771484375,0.9193126069711489,1.0
weather_sept_85,0,256,scan128,split,5,7750.52,7724.18,7799.03,34583.3271484375,0.8711260663800622,1.0553152321469663
weather_sept_85,3,37,direct32,inline,5,1020.2,1019.27,1022.65,4560.3416748046875,1.0,1.0
weather_sept_85,3,37,direct32,split,5,1136.44,1135.77,1137.92,5079.52587890625,0.8977156735067403,1.1139384434424622
weather_sept_85,3,37,local16,inline,5,1095.7,1094.04,1095.81,4891.9461669921875,0.9310942776307384,1.0
weather_sept_85,3,37,local16,split,5,1152.21,1151.02,1155.14,5149.017028808594,0.8854288714730821,1.0515743360408871
